V_in,V_real,V_theoretical,V_output,omega_1,omega_2,time
99.0000,84.0000,83.0545,496,0.52,7.18,3.333
80.0000,85.0000,84.2805,499,0.54,7.08,3.341
47.0000,86.0000,83.9514,495,0.54,6.86,3.349
42.0000,83.0000,81.4533,482,0.54,6.74,3.356
57.0000,80.0000,78.7860,466,0.52,6.58,3.363
71.0000,81.0000,77.1110,458,0.54,6.46,3.371
100.0000,78.0000,76.6412,454,0.54,6.28,3.379
84.0000,80.0000,78.2205,469,0.54,5.88,3.386
71.0000,79.0000,78.6112,469,0.54,5.80,3.393
59.0000,80.0000,78.0261,464,0.52,5.70,3.401
44.0000,78.0000,76.7398,458,0.54,5.60,3.408
43.0000,76.0000,74.5264,445,0.54,5.58,3.415
41.0000,75.0000,71.8130,431,0.54,5.54,3.424
45.0000,72.0000,69.7299,419,0.54,5.40,3.431
49.0000,71.0000,68.0580,413,0.54,5.36,3.438
44.0000,69.0000,66.7695,405,0.56,5.36,3.445
61.0000,68.0000,65.0189,396,0.66,5.14,3.453
68.0000,68.0000,64.7472,399,0.86,4.88,3.460
67.0000,68.0000,64.9972,399,1.04,4.70,3.468
72.0000,70.0000,65.1326,397,1.12,4.64,3.475
66.0000,69.0000,65.6606,399,1.24,4.48,3.483
62.0000,68.0000,65.6836,401,1.32,4.32,3.490
69.0000,68.0000,65.4345,398,1.36,4.20,3.497
80.0000,69.0000,65.7414,398,1.42,4.12,3.506
82.0000,69.0000,66.7054,416,1.62,4.00,3.513
78.0000,70.0000,67.7394,411,1.84,3.74,3.520
65.0000,71.0000,68.4331,413,1.98,3.62,3.527
31.0000,70.0000,68.1691,409,2.10,3.36,3.535
37.0000,68.0000,65.6563,395,2.22,3.28,3.542
50.0000,65.0000,63.4531,383,2.32,3.22,3.550
78.0000,65.0000,62.4187,377,2.50,3.26,3.558
63.0000,66.0000,63.4721,394,2.64,3.14,3.565
52.0000,65.0000,63.4402,385,2.72,3.10,3.572
25.0000,64.0000,62.6668,380,2.88,3.02,3.579
3.0000,63.0000,59.7709,364,3.04,3.16,3.587
3.0000,58.0000,55.4062,340,3.16,3.06,3.595
28.0000,54.0000,51.8632,319,3.26,2.92,3.602
79.0000,53.0000,50.2499,311,3.44,2.82,3.609
93.0000,55.0000,52.4604,322,3.54,2.82,3.617
97.0000,58.0000,55.2011,342,3.64,2.82,3.624
121.0000,60.0000,58.0270,355,3.76,2.62,3.631
109.0000,65.0000,63.4469,377,3.86,2.50,3.640
77.0000,67.0000,66.5266,406,4.00,2.40,3.647
51.0000,68.0000,67.2346,399,4.18,2.32,3.654
63.0000,69.0000,66.1371,390,4.26,2.36,3.661
31.0000,66.0000,65.8959,387,4.42,1.94,3.669
128.0000,64.0000,63.2130,374,4.60,1.44,3.677
135.0000,67.0000,67.5930,399,4.74,1.40,3.684
131.0000,73.0000,72.7754,421,4.78,1.34,3.692
110.0000,76.0000,76.7117,449,4.86,1.24,3.699
74.0000,77.0000,78.9622,457,5.00,1.18,3.706
71.0000,78.0000,78.5807,452,5.04,1.54,3.714
78.0000,77.0000,77.9978,452,5.06,1.44,3.722
77.0000,77.0000,77.9980,450,5.08,1.36,3.729
16.0000,79.0000,77.9305,448,5.12,0.98,3.736
1.0000,73.0000,73.1691,424,5.18,0.78,3.744
11.0000,67.0000,68.2901,396,5.24,0.68,3.751
26.0000,64.0000,64.4169,375,5.32,0.64,3.758
44.0000,62.0000,61.1105,361,5.36,0.58,3.767
76.0000,61.0000,59.9537,360,5.48,0.54,3.774
96.0000,62.0000,61.0386,367,5.52,0.48,3.781
121.0000,64.0000,63.4022,379,5.56,0.36,3.788
131.0000,69.0000,67.8305,399,5.60,0.30,3.796
134.0000,72.0000,72.6871,429,5.68,0.22,3.804
127.0000,76.0000,76.8322,448,5.78,0.20,3.811
68.0000,80.0000,80.6893,462,5.84,20.42,3.819
71.0000,79.0000,79.8314,459,5.88,20.46,3.826
102.0000,78.0000,79.2343,454,5.90,0.36,3.833
97.0000,80.0000,80.9847,461,5.92,0.36,3.841
88.0000,80.0000,82.2160,472,5.98,0.30,3.849
70.0000,81.0000,82.6071,473,6.10,0.28,3.856
71.0000,80.0000,81.6378,466,6.24,0.28,3.864
93.0000,79.0000,80.9186,466,6.38,0.30,3.871
118.0000,80.0000,81.7354,470,6.50,0.30,3.878
134.0000,85.0000,84.5237,482,6.62,0.30,3.886
132.0000,86.0000,88.3275,510,6.74,0.30,3.894
110.0000,89.0000,91.2801,522,6.88,0.30,3.901
78.0000,93.0000,92.7193,524,7.04,0.30,3.909
68.0000,90.0000,91.7242,517,7.22,0.30,3.916
83.0000,88.0000,90.1203,512,7.34,0.32,3.923
109.0000,87.0000,89.6389,508,7.46,0.30,3.930
131.0000,89.0000,91.3054,515,7.62,0.34,3.939
135.0000,91.0000,93.9890,537,7.68,0.30,3.946
125.0000,93.0000,96.7615,548,7.78,0.32,3.953
97.0000,97.0000,98.9326,557,7.88,0.40,3.961
61.0000,96.0000,98.8019,561,7.96,0.50,3.968
68.0000,94.0000,95.8956,545,8.12,0.24,3.976
3.0000,93.0000,93.7509,534,8.20,0.74,3.984
93.0000,86.0000,87.6156,497,8.36,0.20,3.991
101.0000,87.0000,87.9797,508,8.42,0.14,3.998
125.0000,87.0000,88.8599,513,8.50,0.28,4.005
110.0000,91.0000,91.6385,524,8.84,0.28,4.013
70.0000,92.0000,93.0502,536,9.06,0.30,4.021
69.0000,90.0000,91.4918,525,9.20,0.32,4.028
116.0000,90.0000,89.7626,516,9.46,0.34,4.036
116.0000,91.0000,91.5364,542,9.74,0.12,4.043
81.0000,92.0000,93.1903,540,9.88,0.08,4.050
50.0000,94.0000,92.2530,534,10.08,0.08,4.058
64.0000,89.0000,89.0045,516,10.26,0.08,4.066
111.0000,88.0000,87.3140,511,10.50,0.08,4.073
115.0000,89.0000,88.9153,518,10.66,0.08,4.080
96.0000,91.0000,90.9208,525,10.78,0.08,4.088
56.0000,91.0000,91.2642,532,10.98,0.08,4.095
50.0000,88.0000,88.5528,517,11.10,0.08,4.103
98.0000,86.0000,85.5888,501,11.38,0.08,4.111
117.0000,87.0000,86.4278,512,11.60,0.08,4.118
92.0000,88.0000,88.4947,521,11.76,0.08,4.125
65.0000,90.0000,88.7642,520,11.88,0.08,4.133
61.0000,88.0000,87.1576,513,12.16,0.08,4.140
102.0000,86.0000,85.1465,502,12.36,0.08,4.148
118.0000,88.0000,86.4423,506,12.52,0.08,4.156
93.0000,90.0000,88.5758,524,12.66,0.04,4.163
74.0000,89.0000,88.8749,522,12.78,0.08,4.170
57.0000,89.0000,87.7313,515,12.86,0.08,4.178
50.0000,87.0000,85.6537,505,12.96,0.08,4.185
54.0000,84.0000,82.9125,489,13.02,0.08,4.193
58.0000,83.0000,80.6897,478,13.06,0.06,4.201
68.0000,81.0000,79.1557,472,13.08,0.08,4.208
75.0000,80.0000,78.4015,468,13.10,0.08,4.215
82.0000,80.0000,78.1399,464,13.12,0.08,4.223
86.0000,80.0000,78.4367,471,13.12,0.08,4.231
89.0000,80.0000,78.9480,470,13.12,0.08,4.238
89.0000,82.0000,79.7209,472,13.12,0.06,4.246
99.0000,82.0000,80.3482,486,13.14,0.08,4.253
98.0000,83.0000,81.6092,484,13.14,0.06,4.260
105.0000,86.0000,82.8694,488,13.14,0.08,4.268
105.0000,86.0000,84.5709,506,13.12,0.08,4.276
110.0000,86.0000,85.9520,505,13.14,0.08,4.283
108.0000,89.0000,87.8009,511,13.14,0.06,4.291
114.0000,90.0000,89.1665,523,13.14,0.08,4.298
111.0000,90.0000,90.8453,530,13.14,0.06,4.305
113.0000,93.0000,92.3949,534,13.14,0.06,4.313
114.0000,93.0000,93.9792,547,13.14,0.06,4.321
118.0000,96.0000,95.3327,550,13.14,0.08,4.328
118.0000,96.0000,97.0754,563,13.12,0.08,4.336
118.0000,97.0000,98.4900,568,13.14,0.08,4.343
118.0000,100.0000,99.9900,572,13.14,0.08,4.351
117.0000,100.0000,101.3747,585,13.14,0.08,4.359
112.0000,102.0000,102.4310,586,13.14,0.06,4.366
114.0000,102.0000,103.1668,602,13.14,0.08,4.374
113.0000,102.0000,103.8992,595,13.14,0.08,4.381
129.0000,103.0000,104.5989,605,13.12,0.30,4.389
76.0000,104.0000,106.2485,608,13.14,20.22,4.396
65.0000,103.0000,103.6451,594,13.12,20.46,4.405
63.0000,100.0000,101.0325,581,13.14,20.46,4.412
60.0000,98.0000,98.1083,564,13.16,20.46,4.420
65.0000,96.0000,95.5319,554,13.14,20.46,4.427
67.0000,94.0000,93.1845,541,13.14,20.46,4.435
69.0000,91.0000,91.4143,534,13.14,20.46,4.442
75.0000,90.0000,89.6910,525,13.10,20.44,4.450
68.0000,90.0000,88.5615,517,13.14,20.44,4.458
70.0000,88.0000,87.1714,514,13.14,20.44,4.465
76.0000,88.0000,85.8512,505,13.14,20.46,4.473
77.0000,87.0000,85.1852,507,13.14,20.46,4.480
78.0000,86.0000,84.5559,501,13.14,20.46,4.488
65.0000,86.0000,84.0519,496,13.14,20.38,4.496
82.0000,84.0000,82.7638,492,13.12,20.46,4.503
78.0000,85.0000,82.7122,490,13.14,20.46,4.510
87.0000,84.0000,82.3499,493,13.08,20.46,4.518
93.0000,84.0000,82.6643,491,13.04,20.46,4.525
117.0000,86.0000,83.5538,491,12.90,20.38,4.534
130.0000,87.0000,85.8150,511,12.82,20.42,4.541
132.0000,91.0000,88.8022,523,12.74,20.46,4.548
131.0000,93.0000,92.1233,551,12.64,20.42,4.556
112.0000,95.0000,94.7516,554,12.54,20.46,4.563
86.0000,96.0000,96.2362,566,12.42,20.46,4.572
55.0000,95.0000,95.5442,555,12.26,20.46,4.579
54.0000,93.0000,92.4270,537,12.08,20.44,4.587
90.0000,90.0000,89.8292,524,11.84,20.46,4.594
99.0000,88.0000,89.8407,523,11.74,20.46,4.601
96.0000,91.0000,90.5449,524,11.60,20.46,4.609
64.0000,91.0000,90.9643,533,11.40,20.44,4.617
34.0000,90.0000,88.8912,519,11.00,20.46,4.625
76.0000,86.0000,85.1803,498,10.76,20.46,4.632
47.0000,85.0000,84.5596,496,10.42,20.46,4.639
19.0000,83.0000,81.6719,479,10.20,20.40,4.647
38.0000,78.0000,77.4349,455,9.92,20.46,4.654
64.0000,77.0000,74.4031,441,9.58,20.46,4.662
17.0000,76.0000,73.6032,438,9.34,20.46,4.670
6.0000,71.0000,69.7765,417,9.08,20.46,4.677
53.0000,67.0000,65.4648,393,8.84,20.46,4.684
50.0000,67.0000,64.5065,389,8.52,20.46,4.692
21.0000,66.0000,63.3912,387,8.38,20.44,4.700
9.0000,63.0000,60.5253,369,8.12,20.46,4.707
58.0000,60.0000,56.5637,350,7.88,20.46,4.715
79.0000,60.0000,56.6608,354,7.68,20.46,4.722
33.0000,61.0000,58.1710,361,7.40,20.46,4.729
12.0000,60.0000,56.2358,349,7.22,20.42,4.737
56.0000,57.0000,52.8348,334,7.00,20.46,4.745
95.0000,56.0000,53.0488,335,6.68,20.46,4.752
26.0000,60.0000,56.2741,349,6.28,20.42,4.760
106.0000,58.0000,54.2274,336,5.86,20.46,4.767
61.0000,63.0000,58.2081,355,5.48,20.46,4.775
101.0000,61.0000,58.3968,364,5.02,20.46,4.782
19.0000,63.0000,61.6723,372,4.56,20.14,4.790
107.0000,61.0000,58.3915,352,4.10,20.46,4.798
84.0000,64.0000,61.6777,377,3.64,20.46,4.805
87.0000,65.0000,63.1869,382,3.28,20.46,4.812
109.0000,67.0000,65.0177,388,2.82,20.42,4.820
68.0000,69.0000,68.3994,410,2.54,20.46,4.828
132.0000,69.0000,68.3724,406,2.14,20.46,4.835
107.0000,74.0000,73.2642,428,1.86,20.46,4.843
94.0000,75.0000,75.5450,444,1.40,20.46,4.850
128.0000,79.0000,76.9638,447,1.08,20.46,4.858
68.0000,80.0000,80.4142,478,0.78,20.46,4.865
73.0000,79.0000,79.4597,464,0.54,20.46,4.873
119.0000,79.0000,78.9631,460,0.28,20.46,4.881
108.0000,82.0000,81.6698,481,0.06,20.40,4.888
78.0000,83.0000,83.4499,488,0.00,20.46,4.895
73.0000,84.0000,83.0309,483,0.00,20.46,4.903
68.0000,82.0000,82.3527,477,0.00,20.46,4.910
67.0000,81.0000,81.2492,477,0.00,20.44,4.918
58.0000,80.0000,80.2859,467,0.00,20.46,4.925
53.0000,78.0000,78.7792,460,0.00,20.46,4.932
48.0000,78.0000,76.7972,450,0.00,20.46,4.940
45.0000,76.0000,74.8503,446,0.00,20.46,4.947
41.0000,74.0000,72.8323,431,0.00,20.46,4.954
38.0000,72.0000,70.3849,418,0.00,20.46,4.962
36.0000,70.0000,67.8951,406,0.00,20.46,4.970
34.0000,68.0000,65.7388,394,0.00,20.46,4.977
34.0000,66.0000,63.5930,384,0.00,20.46,4.984
34.0000,63.0000,61.5924,372,0.00,20.46,4.991
35.0000,64.0000,59.4709,362,0.00,20.46,4.999
35.0000,61.0000,57.5895,352,0.00,20.44,5.007
39.0000,59.0000,56.0623,353,0.00,20.46,5.014
41.0000,57.0000,54.9088,338,0.00,20.46,5.021
45.0000,56.0000,53.9685,332,0.00,20.46,5.028
49.0000,56.0000,53.2790,329,0.00,20.46,5.036
54.0000,56.0000,52.9500,327,0.00,20.46,5.044
59.0000,56.0000,53.0209,330,0.00,20.46,5.051
50.0000,56.0000,53.4252,330,0.00,20.40,5.058
63.0000,58.0000,53.1936,327,0.00,20.44,5.065
69.0000,57.0000,53.9475,330,0.00,20.44,5.073
79.0000,57.0000,54.9652,346,0.00,20.46,5.080
76.0000,58.0000,56.8130,346,0.00,0.92,5.088
71.0000,60.0000,58.1102,352,0.00,0.90,5.095
76.0000,62.0000,58.9816,355,0.00,0.92,5.102
85.0000,62.0000,60.2901,361,0.00,0.96,5.110
85.0000,64.0000,61.9607,369,0.00,0.96,5.117
86.0000,65.0000,63.5182,383,0.00,0.96,5.124
86.0000,66.0000,65.2467,388,0.00,0.96,5.132
90.0000,66.0000,66.6498,394,0.00,0.98,5.139
102.0000,71.0000,68.4450,401,0.00,20.46,5.147
82.0000,71.0000,70.7135,412,0.00,0.94,5.154
78.0000,71.0000,71.4765,421,0.00,0.92,5.161
73.0000,71.0000,71.9781,420,0.00,0.90,5.169
74.0000,71.0000,72.0472,420,0.00,0.90,5.176
93.0000,74.0000,72.1792,419,0.00,20.44,5.183
74.0000,73.0000,73.7800,426,0.00,0.90,5.191
74.0000,73.0000,73.7948,433,0.00,0.90,5.198
70.0000,73.0000,73.8087,429,0.00,0.88,5.205
79.0000,73.0000,73.5159,426,0.00,0.92,5.213
75.0000,72.0000,73.8866,428,0.00,0.90,5.220
61.0000,74.0000,73.9722,426,0.00,20.46,5.228
56.0000,73.0000,73.0952,421,0.00,20.46,5.235
51.0000,71.0000,71.9395,419,0.00,20.46,5.242
47.0000,70.0000,70.5239,410,0.00,20.46,5.249
76.0000,70.0000,68.7153,400,0.00,0.90,5.257
40.0000,70.0000,69.2754,404,0.00,20.46,5.265
37.0000,68.0000,67.2962,392,0.00,20.46,5.272
35.0000,66.0000,65.2480,384,0.00,20.46,5.279
34.0000,64.0000,63.2030,371,0.00,20.46,5.286
34.0000,62.0000,60.9577,361,0.00,20.46,5.294
34.0000,60.0000,58.8851,351,0.00,20.46,5.302
73.0000,58.0000,57.2027,344,0.00,2.60,5.309
40.0000,59.0000,58.2707,351,0.00,2.28,5.316
39.0000,59.0000,57.0355,343,0.00,20.46,5.323
39.0000,58.0000,55.6489,336,0.00,20.28,5.331
46.0000,57.0000,54.5233,328,0.00,20.46,5.338
51.0000,55.0000,53.8680,328,0.00,20.46,5.346
55.0000,55.0000,53.6741,325,0.00,20.46,5.353
61.0000,56.0000,53.7761,325,0.00,20.46,5.361
65.0000,56.0000,54.2644,327,0.00,20.46,5.368
37.0000,57.0000,54.9902,335,0.00,2.40,5.375
59.0000,55.0000,53.6071,327,0.00,4.22,5.383
46.0000,55.0000,53.9717,328,0.00,4.16,5.390
93.0000,55.0000,53.3588,323,0.00,4.36,5.398
89.0000,58.0000,56.0388,338,0.00,20.46,5.405
93.0000,60.0000,58.2672,361,0.00,20.46,5.412
96.0000,62.0000,60.6155,366,0.00,20.46,5.419
99.0000,65.0000,63.3359,377,0.00,20.46,5.427
101.0000,67.0000,66.0779,388,0.00,20.46,5.435
93.0000,69.0000,68.4388,409,0.00,20.38,5.442
102.0000,70.0000,70.0993,413,0.00,20.46,5.449
101.0000,71.0000,72.2560,422,0.00,20.46,5.456
100.0000,74.0000,74.4659,431,0.00,20.46,5.464
98.0000,76.0000,76.4291,446,0.00,20.46,5.472
95.0000,77.0000,77.8875,451,0.00,20.46,5.479
49.0000,78.0000,79.0444,455,0.00,2.44,5.486
61.0000,76.0000,76.7345,442,0.00,4.64,5.494
50.0000,75.0000,75.6707,436,0.00,4.68,5.501
72.0000,73.0000,73.9352,430,0.00,5.04,5.508
63.0000,73.0000,73.7864,430,0.00,5.00,5.516
70.0000,72.0000,73.0572,424,0.00,5.42,5.523
39.0000,74.0000,72.8505,423,0.00,5.56,5.530
36.0000,70.0000,70.2479,409,0.00,5.58,5.538
34.0000,68.0000,67.9325,396,0.00,5.60,5.545
94.0000,65.0000,65.3237,386,0.00,5.94,5.553
86.0000,67.0000,67.2624,398,0.00,6.16,5.560
50.0000,68.0000,68.5291,404,0.00,6.30,5.567
102.0000,68.0000,67.1046,395,0.00,6.00,5.575
36.0000,70.0000,69.4637,408,0.00,20.46,5.582
93.0000,68.0000,67.2014,397,0.00,0.94,5.589
90.0000,69.0000,69.1850,408,0.00,0.92,5.597
41.0000,70.0000,70.5922,413,0.00,4.84,5.604
79.0000,69.0000,68.3171,401,0.00,5.32,5.612
39.0000,70.0000,69.0393,404,0.00,3.84,5.619
38.0000,67.0000,67.0084,401,0.00,20.46,5.626
40.0000,66.0000,65.0473,383,0.00,20.46,5.633
44.0000,64.0000,63.1216,374,0.00,20.46,5.641
48.0000,63.0000,61.6515,367,0.00,20.46,5.649
53.0000,62.0000,60.7285,362,0.00,20.46,5.656
41.0000,62.0000,60.2060,363,0.00,5.62,5.663
88.0000,61.0000,58.9076,355,0.00,5.82,5.670
78.0000,61.0000,60.8744,367,0.00,0.86,5.677
83.0000,64.0000,62.3483,372,0.00,0.88,5.686
84.0000,65.0000,63.7445,378,0.00,0.88,5.693
94.0000,66.0000,65.1139,393,0.00,7.46,5.700
39.0000,68.0000,67.0668,400,0.00,4.76,5.707
101.0000,66.0000,65.1693,386,0.00,1.00,5.714
89.0000,69.0000,67.5917,400,0.00,0.90,5.721
87.0000,70.0000,69.4343,407,0.00,1.14,5.730
86.0000,71.0000,70.6219,411,0.00,20.38,5.737
101.0000,72.0000,71.6615,421,0.00,20.46,5.744
102.0000,73.0000,73.6450,431,0.00,20.46,5.751
102.0000,76.0000,75.8250,438,0.00,20.46,5.759
101.0000,77.0000,77.8374,455,0.00,20.46,5.767
99.0000,78.0000,79.4033,459,0.00,20.46,5.774
97.0000,79.0000,80.7283,465,0.00,20.46,5.781
94.0000,81.0000,81.9793,469,0.00,20.46,5.789
91.0000,82.0000,82.7919,472,0.00,20.46,5.796
87.0000,82.0000,83.3469,479,0.00,20.46,5.803
72.0000,82.0000,83.6277,479,0.00,0.82,5.811
98.0000,83.0000,82.7338,473,0.00,0.94,5.819
66.0000,83.0000,83.7658,479,0.00,14.86,5.826
84.0000,81.0000,82.5648,481,0.00,1.14,5.833
79.0000,81.0000,82.6618,477,0.00,1.16,5.840
79.0000,81.0000,82.4142,474,0.00,1.16,5.847
78.0000,82.0000,82.1518,472,0.00,1.16,5.855
78.0000,81.0000,81.8326,469,0.00,1.16,5.863
78.0000,81.0000,81.5735,467,0.00,1.16,5.870
72.0000,80.0000,81.3319,471,0.00,1.18,5.877
72.0000,79.0000,80.7010,467,0.00,1.18,5.884
72.0000,79.0000,80.1127,464,0.00,1.18,5.891
71.0000,80.0000,79.4145,461,0.00,1.18,5.900
71.0000,79.0000,78.8456,456,0.00,1.18,5.907
34.0000,78.0000,78.3152,465,0.00,20.46,5.914
35.0000,75.0000,75.3192,439,0.00,20.46,5.921
36.0000,72.0000,72.5934,423,0.00,20.46,5.928
39.0000,71.0000,69.4439,411,0.00,20.46,5.937
42.0000,69.0000,67.3857,399,0.00,20.46,5.944
46.0000,67.0000,65.6695,392,0.00,20.46,5.951
36.0000,66.0000,64.3397,384,0.00,20.38,5.958
54.0000,65.0000,62.1608,374,0.00,20.46,5.966
59.0000,64.0000,61.6090,370,0.00,20.46,5.973
49.0000,63.0000,61.4085,373,0.00,20.40,5.981
64.0000,63.0000,60.5696,367,0.00,20.44,5.988
74.0000,65.0000,60.8015,368,0.00,20.46,5.995
80.0000,64.0000,61.8162,372,0.00,20.46,6.003
84.0000,65.0000,63.0456,390,0.00,20.46,6.010
88.0000,66.0000,64.4622,391,0.00,20.46,6.017
92.0000,68.0000,66.2720,398,0.00,20.46,6.025
96.0000,70.0000,68.2499,406,0.00,20.46,6.033
96.0000,71.0000,70.1260,416,0.00,20.44,6.040
95.0000,73.0000,71.8752,431,0.00,20.42,6.047
101.0000,74.0000,73.4388,436,0.00,20.46,6.054
102.0000,79.0000,75.5576,444,0.00,20.46,6.062
101.0000,78.0000,77.5907,451,0.00,20.46,6.070
100.0000,79.0000,79.1733,465,0.00,20.46,6.077
98.0000,80.0000,80.5813,470,0.00,20.46,6.084
96.0000,82.0000,81.9204,475,0.00,20.46,6.092
96.0000,83.0000,82.8723,479,0.00,20.44,6.099
89.0000,83.0000,83.7598,489,0.00,20.46,6.106
84.0000,84.0000,84.1627,489,0.00,20.46,6.114
79.0000,85.0000,84.1502,488,0.00,20.46,6.122
75.0000,84.0000,83.8020,484,0.00,20.46,6.129
81.0000,83.0000,83.2069,484,0.00,20.42,6.136
70.0000,82.0000,83.0577,482,0.00,20.44,6.143
59.0000,83.0000,82.0539,475,0.00,20.46,6.151
54.0000,80.0000,80.2813,465,0.00,20.46,6.159
98.0000,78.0000,78.5046,461,0.00,20.26,6.166
46.0000,79.0000,79.8226,466,0.00,20.46,6.173
42.0000,77.0000,77.5360,451,0.00,20.46,6.180
39.0000,76.0000,74.8037,438,0.00,20.46,6.188
36.0000,73.0000,72.0512,424,0.00,20.46,6.196
35.0000,71.0000,69.6139,414,0.00,20.46,6.203
35.0000,68.0000,67.2738,399,0.00,20.44,6.210
34.0000,67.0000,65.0919,387,0.00,20.46,6.217
34.0000,64.0000,62.7013,376,0.00,20.46,6.225
35.0000,63.0000,60.7610,367,0.00,20.46,6.232
38.0000,61.0000,58.7803,357,0.00,20.46,6.240
40.0000,61.0000,57.3754,349,0.00,20.46,6.247
44.0000,59.0000,56.0396,343,0.00,20.46,6.255
48.0000,58.0000,55.2257,349,0.00,20.46,6.262
52.0000,58.0000,54.7372,338,0.00,20.46,6.269
42.0000,57.0000,54.5521,337,0.00,20.40,6.276
47.0000,57.0000,53.4717,331,0.00,20.40,6.285
67.0000,56.0000,53.0342,327,0.00,20.46,6.292
72.0000,57.0000,53.9783,335,0.00,20.46,6.299
77.0000,58.0000,55.1967,341,0.00,20.46,6.306
60.0000,60.0000,56.8729,348,0.00,20.38,6.314
87.0000,60.0000,57.1133,347,0.00,20.46,6.322
91.0000,61.0000,59.1338,363,0.00,20.46,6.329
90.0000,62.0000,61.2882,372,0.00,20.44,6.336
97.0000,67.0000,63.4958,380,0.00,20.46,6.344
99.0000,67.0000,65.7608,391,0.00,20.46,6.351
101.0000,69.0000,68.0080,409,0.00,20.46,6.358
102.0000,71.0000,70.5444,417,0.00,20.46,6.366
102.0000,75.0000,72.9629,426,0.00,20.46,6.374
102.0000,75.0000,74.9260,434,0.00,20.44,6.381
99.0000,75.0000,76.7564,449,0.00,20.46,6.388
97.0000,77.0000,78.2602,454,0.00,20.46,6.395
94.0000,80.0000,79.7010,459,0.00,20.46,6.403
90.0000,80.0000,80.8003,462,0.00,20.46,6.411
86.0000,80.0000,81.4222,470,0.00,20.46,6.418
87.0000,80.0000,81.7317,470,0.00,20.44,6.425
77.0000,83.0000,82.1368,470,0.00,20.46,6.433
72.0000,81.0000,81.7895,467,0.00,20.46,6.440
67.0000,80.0000,81.1277,469,0.00,20.46,6.447
62.0000,79.0000,80.0415,462,0.00,20.46,6.455
57.0000,77.0000,78.8217,454,0.00,20.46,6.462
52.0000,77.0000,77.1441,446,0.00,20.46,6.470
48.0000,76.0000,75.4442,436,0.00,20.46,6.477
44.0000,73.0000,73.5888,430,0.00,20.46,6.484
40.0000,72.0000,71.3138,419,0.00,20.46,6.492
37.0000,70.0000,68.9065,408,0.00,20.46,6.500
35.0000,68.0000,66.7494,396,0.00,20.46,6.507
34.0000,66.0000,64.6030,386,0.00,20.46,6.514
34.0000,64.0000,62.5338,374,0.00,20.46,6.521
57.0000,63.0000,60.6047,364,0.00,20.30,6.528
35.0000,62.0000,60.2945,362,0.00,20.46,6.537
37.0000,60.0000,58.5844,362,0.00,20.46,6.544
39.0000,59.0000,57.1252,346,0.00,20.46,6.551
42.0000,57.0000,55.8998,338,0.00,20.46,6.558
46.0000,57.0000,54.8312,333,0.00,20.46,6.566
50.0000,56.0000,54.2342,328,0.00,20.46,6.573
55.0000,56.0000,53.9086,330,0.00,20.46,6.581
60.0000,56.0000,53.9824,329,0.00,20.46,6.588
65.0000,57.0000,54.4451,331,0.00,20.46,6.596
70.0000,57.0000,55.1586,334,0.00,20.46,6.603
69.0000,58.0000,56.1620,343,0.00,20.44,6.610
80.0000,59.0000,57.0299,346,0.00,20.46,6.617
85.0000,62.0000,59.0069,354,0.00,20.46,6.626
84.0000,63.0000,60.7642,363,0.00,20.44,6.633
93.0000,64.0000,62.3351,384,0.00,20.46,6.640
96.0000,65.0000,64.4082,385,0.00,20.46,6.647
98.0000,68.0000,66.5440,396,0.00,20.46,6.654
101.0000,70.0000,69.2513,405,0.00,20.46,6.663
98.0000,71.0000,71.3977,426,0.00,20.42,6.670
